username,usercomment
Jesns,😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑
优酷手机用户_pT3wH2Ig,已转发评论
腾讯用户1474027769686255,怎么没有弹幕啊[无语][无语][无语][无语][无语]
腾讯用户1473688029416944,杨洋好帅
微信用户1474081785753566,对
微信用户1474081785753566,Good
微信用户1474081785753566,太好看了！
箫熏儿63196010,郑爽夺了杨洋的初吻💋，和床戏
腾讯用户1471611750773600,唯爱鹿晗
腾讯用户1473489597237154,大神
腾讯用户1470391899474423,哈哈哈哈哈哈哈
Y额额额额,杨洋跟郑素安
腾讯用户1472952069656499,希望有第二部，虽然拍第二部有可能会破坏第一部，不过如果保持没有那种狗血剧情，相信一定还会高收视率的，如果有第二部，希望多增加细节
腾讯用户1474081693994730,杨洋好帅[雷婷_害羞]
微信用户1472878737535946,大爱杨洋，郑爽
腾讯用户1472521997624121,好啊
奇怪水晶,跟本看不够
腾讯用户1474078868318143,好不容易想看部剧，这么长时间的广告，心碎💘💘💘💘💘💘💘💘💘💘💘💘💔💔💔💔💔💔💔💔💔💔💔💔💔
微信用户1473941552017622,早火了OK？
腾讯用户1471932113949726,去看了小说，不知道是不是因为是转载的，情节好乱
ANAN78987,哈哈哈哈哈哈，太JB好看啦啊啊啊啊啊啊啊啊啊啊啊啊啊啊
ANAN78987,sadsa
腾讯用户1473998796038288,杨洋好帅啊[稀饭][稀饭][稀饭][羞涩][羞涩][羞涩]
面具爱人63054932,有多少级啊
夏文杰19829758,大家快来看吧，非常好看，[赞][赞][赞][稀饭][稀饭][牛]
祁禹卓,广告太多了　啊啊啊　但喜欢的点个赞吧
夏文杰19829758,[么么哒][飞流么么哒][苏兄么么哒]
郑家捷,就是广告太多了
微信用户1474078654762924,广告太多了
微信用户1473474761691420,太好看了吧，杨洋和郑爽简直就是郎才女貌啊，这部电视剧的杨洋好亲切，好温柔哦[雷婷_害羞][止戈_花痴]！
微信用户1473474761691420,实在是太好看了！晚上在电视上看了，第二天又来优酷看无数遍，好喜欢小爽和杨洋在这里面的演技。忍不住向左邻右舍推荐。[稀饭][稀饭]
优酷用户1472955863382764,呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵
优酷用户808357243,[雷婷_女王]
腾讯用户1466236170551562,[裘球_萌萌哒][止戈_花痴]
张艳飞靠自己,微微一笑很倾城特别好看
゜一颗芯,[雷婷_女王]
゜一颗芯,希望微微和肖奈在现实生活中真的在一起 同意的赞我
